Дата_и_Время,Цена_ЭЭ,sin_час,cos_час,День,Цена_EUR,Цена_USD,Цена_газ,Цена_нефть
2024-05-01 00:00:00,1266.51,0.0,1.0,1,98.027609375,90.6461961722488,1.943,85.56
2024-05-01 01:00:00,1297.87,0.2588190451025207,0.9659258262890684,1,98.027609375,90.6461961722488,1.944,85.65
2024-05-01 02:00:00,1107.81,0.4999999999999999,0.8660254037844387,1,98.027609375,90.6461961722488,1.936,85.64
2024-05-01 03:00:00,1141.58,0.7071067811865476,0.7071067811865476,1,98.027609375,90.6461961722488,1.931,85.61
2024-05-01 04:00:00,1040.74,0.8660254037844386,0.5000000000000001,1,98.027609375,90.6461961722488,1.937,85.66
2024-05-01 05:00:00,1005.66,0.9659258262890684,0.2588190451025207,1,98.027609375,90.6461961722488,1.936,85.67
2024-05-01 06:00:00,1073.28,1.0,6.123233995736766e-17,1,98.027609375,90.6461961722488,1.93,85.51
2024-05-01 07:00:00,1237.42,0.9659258262890684,-0.2588190451025206,1,98.027609375,90.6461961722488,1.934,85.26
2024-05-01 08:00:00,1332.71,0.8660254037844387,-0.4999999999999998,1,98.027609375,90.6461961722488,1.946,85.09
2024-05-01 09:00:00,1557.08,0.7071067811865476,-0.7071067811865475,1,98.027609375,90.6461961722488,1.933,84.91
2024-05-01 10:00:00,1699.33,0.4999999999999999,-0.8660254037844387,1,98.027609375,90.6461961722488,1.92,85.25
2024-05-01 11:00:00,1627.3,0.258819045102521,-0.9659258262890682,1,98.027609375,90.6461961722488,1.935,85.0
2024-05-01 12:00:00,1605.39,1.2246467991473532e-16,-1.0,1,98.027609375,90.6461961722488,1.941,85.12
2024-05-01 13:00:00,1636.38,-0.2588190451025208,-0.9659258262890684,1,98.027609375,90.6461961722488,1.938,85.57
2024-05-01 14:00:00,1591.35,-0.4999999999999997,-0.8660254037844388,1,98.027609375,90.6461961722488,1.942,84.55
2024-05-01 15:00:00,1543.65,-0.7071067811865471,-0.7071067811865479,1,98.027609375,90.6461961722488,1.934,83.56
2024-05-01 16:00:00,1519.54,-0.8660254037844385,-0.5000000000000004,1,98.027609375,90.6461961722488,1.931,83.7
2024-05-01 17:00:00,1528.55,-0.9659258262890684,-0.2588190451025206,1,98.027609375,90.6461961722488,1.9387391304347827,83.56
2024-05-01 18:00:00,1615.35,-1.0,-1.8369701987210287e-16,1,98.027609375,90.6461961722488,1.932,83.59
2024-05-01 19:00:00,1734.86,-0.9659258262890684,0.2588190451025203,1,98.027609375,90.6461961722488,1.938,83.42
2024-05-01 20:00:00,1849.62,-0.8660254037844386,0.5000000000000001,1,98.027609375,90.6461961722488,1.95,83.52
2024-05-01 21:00:00,1765.89,-0.7071067811865477,0.7071067811865474,1,98.027609375,90.6461961722488,1.949,83.58
2024-05-01 22:00:00,1447.77,-0.5000000000000004,0.8660254037844384,1,98.027609375,90.6461961722488,1.954,84.72
2024-05-01 23:00:00,1266.49,-0.2588190451025215,0.965925826289068,1,98.027609375,90.6461961722488,1.957,83.58
2024-05-02 00:00:00,1249.6,0.0,1.0,2,98.9103125,92.22409090909092,1.955,83.63
2024-05-02 01:00:00,1147.27,0.2588190451025207,0.9659258262890684,2,98.9103125,92.22409090909092,1.956,83.72
2024-05-02 02:00:00,1120.21,0.4999999999999999,0.8660254037844387,2,98.9103125,92.22409090909092,1.962,83.85
2024-05-02 03:00:00,1061.12,0.7071067811865476,0.7071067811865476,2,98.9103125,92.22409090909092,1.977,83.92
2024-05-02 04:00:00,1093.11,0.8660254037844386,0.5000000000000001,2,98.9103125,92.22409090909092,1.978,83.97
2024-05-02 05:00:00,1139.9,0.9659258262890684,0.2588190451025207,2,98.9103125,92.22409090909092,1.973,83.98
2024-05-02 06:00:00,1272.36,1.0,6.123233995736766e-17,2,98.9103125,92.22409090909092,1.968,83.92
