Дата,Прогноз
2024-06-01 00:00:00,1196.0127134154247
2024-06-01 01:00:00,1038.2371643473068
2024-06-01 02:00:00,937.52594907675
2024-06-01 03:00:00,844.0721584105564
2024-06-01 04:00:00,861.9304852345275
2024-06-01 05:00:00,1082.1897228230646
2024-06-01 06:00:00,1257.8851009881698
2024-06-01 07:00:00,1540.7250178744137
2024-06-01 08:00:00,1871.571986738327
2024-06-01 09:00:00,2055.186033467534
2024-06-01 10:00:00,2100.1393991334407
2024-06-01 11:00:00,2067.2976292587
2024-06-01 12:00:00,2045.0187705214169
2024-06-01 13:00:00,2107.5342648146366
2024-06-01 14:00:00,2102.7577264682586
2024-06-01 15:00:00,2053.4178748113172
2024-06-01 16:00:00,2019.648364351157
2024-06-01 17:00:00,2004.7629278393879
2024-06-01 18:00:00,2003.4490526818784
2024-06-01 19:00:00,1935.375499838632
2024-06-01 20:00:00,1904.0001258324883
2024-06-01 21:00:00,1869.4875660596063
2024-06-01 22:00:00,1616.0557204660138
2024-06-01 23:00:00,1339.8312796971952
2024-06-02 00:00:00,1159.9404981894932
2024-06-02 01:00:00,1007.8571946684146
2024-06-02 02:00:00,915.6727560714684
2024-06-02 03:00:00,834.8001129537245
2024-06-02 04:00:00,862.9155141233045
2024-06-02 05:00:00,1061.0407713201578
2024-06-02 06:00:00,1247.6402208327968
2024-06-02 07:00:00,1525.937161664251
2024-06-02 08:00:00,1834.8758000758241
2024-06-02 09:00:00,2022.4888207722702
2024-06-02 10:00:00,2086.9297914880663
2024-06-02 11:00:00,2053.977980944131
2024-06-02 12:00:00,2030.0425017899443
2024-06-02 13:00:00,2098.8747316359563
2024-06-02 14:00:00,2087.132534384806
2024-06-02 15:00:00,2029.1030060991798
2024-06-02 16:00:00,2003.0683854381693
2024-06-02 17:00:00,1993.292418981405
2024-06-02 18:00:00,1987.8049537527727
2024-06-02 19:00:00,1923.2317224076478
2024-06-02 20:00:00,1899.2683150764847
2024-06-02 21:00:00,1855.2101296192611
2024-06-02 22:00:00,1601.1523344394689
2024-06-02 23:00:00,1331.6707525701702
